Date,Open,High,Low,Close,Close_Dolar
2022-03-31,120261.0,120880.0,119999.0,119999.0,4.769700050354004
2022-04-01,120001.0,121579.0,120001.0,121570.0,4.737800121307373
2022-04-04,121569.0,121570.0,120754.0,121280.0,4.657199859619141
2022-04-05,121279.0,121628.0,118794.0,118885.0,4.593800067901611
2022-04-06,118885.0,118885.0,116791.0,118228.0,4.650700092315674
2022-04-07,118226.0,119247.0,117509.0,118862.0,4.715199947357178
2022-04-08,118861.0,118868.0,117487.0,118322.0,4.752099990844727
2022-04-11,118320.0,118320.0,116953.0,116953.0,4.6981000900268555
2022-04-12,116963.0,118615.0,116054.0,116147.0,4.693600177764893
2022-04-13,116150.0,117329.0,116150.0,116782.0,4.673099994659424
2022-04-14,116781.0,116781.0,115624.0,116182.0,4.690199851989746
2022-04-18,116182.0,116191.0,115177.0,115687.0,4.7006001472473145
2022-04-19,115687.0,115687.0,114277.0,115057.0,4.6519999504089355
2022-04-20,115057.0,115057.0,113945.0,114344.0,4.664999961853027
2022-04-22,114343.0,114343.0,110591.0,111078.0,4.620800018310547
2022-04-25,111077.0,111155.0,109222.0,110685.0,4.795199871063232
2022-04-26,110684.0,110685.0,107978.0,108213.0,4.876200199127197
2022-04-27,108214.0,110107.0,108214.0,109349.0,4.997799873352051
2022-04-28,109349.0,110702.0,108905.0,109919.0,4.963600158691406
2022-04-29,109922.0,111819.0,107876.0,107876.0,4.93779993057251
2022-05-02,107876.0,107884.0,105218.0,106639.0,4.97130012512207
2022-05-03,106640.0,107127.0,106033.0,106528.0,5.084700107574463
2022-05-04,106529.0,108382.0,104933.0,108344.0,4.958099842071533
2022-05-05,108337.0,108337.0,103923.0,105304.0,4.918799877166748
2022-05-06,105303.0,106268.0,103984.0,105135.0,5.0279998779296875
2022-05-09,105109.0,105109.0,102768.0,103250.0,5.080399990081787
2022-05-10,103251.0,104286.0,102386.0,103110.0,5.160900115966797
2022-05-11,103110.0,105374.0,103008.0,104397.0,5.13129997253418
2022-05-12,104395.0,105708.0,103579.0,105688.0,5.134252071380615
2022-05-13,105691.0,107773.0,105691.0,106924.0,5.133399963378906
